_corrupt_record,content_duration,course_id,course_title,is_paid,level,num_lectures,num_reviews,num_subscribers,price,published_timestamp,subject,url
,2.5,596026,Trade for Profit: Find-Trade Stocks Successfully Arabic عربي,True,All Levels,65.0,5,299,95.0,2015-11-12T00:51:16Z,Business Finance,https://www.udemy.com/trading-stocks-successfully-stock-trading-introduction-arabic/
,2.0,1264512,Trading Forex  - L'analyse des volumes,True,All Levels,13.0,3,4,70.0,2017-06-29T21:32:21Z,Business Finance,https://www.udemy.com/trading-forex-lanalyse-des-volumes/
,1.5,499504,Disminuye deudas en tu hogar en menos de 30 días,True,Beginner Level,15.0,3,65,20.0,2015-05-19T22:25:23Z,Business Finance,https://www.udemy.com/disminuye-deudas-en-tu-hogar/
,5.0,903326,CPA 10 COMPLETO,True,All Levels,18.0,25,101,25.0,2016-08-10T23:07:28Z,Business Finance,https://www.udemy.com/estacio-cpa-10-anbima/
,1.5,412108,Trading Intradiario basado en Precio y Volumen,True,Intermediate Level,19.0,15,92,40.0,2015-02-18T23:28:01Z,Business Finance,https://www.udemy.com/trading-intradiario-basado-en-precio-y-volumen/
,2.0,865630,Aprenda Cálculo Financeiro de Forma Simples,True,All Levels,21.0,14,76,20.0,2016-06-02T18:09:38Z,Business Finance,https://www.udemy.com/aprenda-calculo-financeiro-de-forma-simples/
,0.6166666666666667,1210062,Wie funktionieren Bitcoin? Ein Einführungskurs.,True,Beginner Level,14.0,4,14,20.0,2017-05-10T23:37:44Z,Business Finance,https://www.udemy.com/wie-funktionieren-bitcoin-ein-einfuhrungskurs/
,3.5,1180960,Estruturação Financeira,True,All Levels,18.0,3,18,45.0,2017-05-08T02:40:04Z,Business Finance,https://www.udemy.com/estruturacao-financeira/
,3.0,660846,Five steps to becoming a winner in stock investing,True,All Levels,28.0,1,21,20.0,2015-11-06T19:05:01Z,Business Finance,https://www.udemy.com/five-steps-to-becoming-a-winner-in-stock-investing/
,1.0,829206,Financial Accounting Plus Excel and SAP Crash Course.,True,Beginner Level,11.0,2,18,20.0,2016-05-23T17:03:43Z,Business Finance,https://www.udemy.com/financial-accounting1/
,1.5,385604,Introduction to Financial Consolidation under IFRS,True,All Levels,8.0,3,21,25.0,2016-12-05T14:18:39Z,Business Finance,https://www.udemy.com/introduction-to-financial-consolidation-under-ifrs/
,2.0,302468,How to read a Profit & Loss Account and Balance Sheet,True,All Levels,13.0,10,49,20.0,2014-09-22T04:05:52Z,Business Finance,https://www.udemy.com/how-to-read-a-profit-loss-account-and-balance-sheet/
,3.0,331600,Learn Bookkeeping From Scratch,True,All Levels,21.0,2,168,20.0,2014-11-05T21:43:45Z,Business Finance,https://www.udemy.com/bookkeeping/
,3.5,557436,ACCA MA1 Management Information,True,Beginner Level,48.0,1,16,50.0,2015-08-24T23:33:21Z,Business Finance,https://www.udemy.com/acca-ma1-management-information/
