course_title,num_lectures
Futures/Commodity Trading,23.0
Complete Claritas Investment Certificate,35.0
Introduction to the economics of public services regulation,69.0
Essentials of money value: Get a financial Life !,20.0
Introduction to Forex Trading Business For Beginners,27.0
Forex how traders beat the markest with little experience,16.0
CFA Level 2- Quantitative Methods,35.0
Foundations of Investing,18.0
Capital Market Road Map,21.0
TRADING: 5K CHALLENGE,19.0
Bitcoin - A Comprehensive Guide,35.0
Forex Trading,25.0
"The True ' Secret Sauce  For Stock Market Success""",30.0
Bookkeeping to Command Senior Bookkeeping Wages,58.0
Take Your Career to the Next Level with MBA Finance,19.0
How to Read Financial Statements:  Build Financial Literacy.,20.0
Accounting Books of Accounts (College Level),18.0
Learn How to Trade Pump and Dumps. 5 Setups Well Explained.,18.0
Bitcoin Trading 101,19.0
Visualizing Data,63.0
Forex Trading System: Correlation EUR/GBP vs GBP/USD,26.0
Learn Financial Accounting Different,58.0
"IAS37 - Provisions, Contingents Liabilities & Assets",29.0
Financial Reporting A Comprehensive Study,72.0
An Abundance Mindset: How to Craft Yours,40.0
How to Build a Massive Retirement Plan from Scratch!,23.0
Financial modeling: Build a forward looking financial model,22.0
Trading for Beginners - Entry Level,16.0
Bitcoin or How I Learned to Stop Worrying and Love Crypto,24.0
Trend Following Stocks: A Complete Trading System,64.0
Forex Basics,26.0
Accounting Bank Reconciliation Statement (College Level),16.0
Bitcoin - Ethereum: Trading -Watch me manage my own account!,22.0
FOREX : Learn Technical Analysis,79.0
Algorithmic futures trading - Investing with no experience,19.0
Succeed in Forex Even if You Don't Know Where to Start!,211.0
2 Easy Steps To Investment And Avoiding Traps,20.0
Using Xero for your bookkeeping needs  do beautiful business,28.0
Capital Market Immersion,142.0
"Trading Mindset, and Three Steps To Profitable Trading",24.0
Professional Bookkeeping & Accounting 4:Trial Balance & More,21.0
"Internal Controls - Design, Implementation and Monitoring",27.0
Forex online live trading system (Special Offer),34.0
Winning Options Trading System,24.0
FMT: Forex Market Trader Certificate,27.0
Six Stage Negotiation,21.0
Financial Reporting - Fundamentals/Basics,28.0
Decide whether to Invest in a Business ,43.0
Financial Market Environment & Investment Strategies,25.0
Trade RSI Breakout Strategy: Great Risk/Reward Ratio (Forex),19.0
